,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Gamma(⅔) [Series-Pi (Brown)]",,1.508,"16,500,000",3.250,"15,300,000",6.880,"14,500,000",17.738,"14,000,000",32.614,"15,300,000",57.758,"17,300,000",,,,,,,,,,,,
"Gamma(⅙) [AGM-Pi]",,3.386,"7,380,000",6.120,"8,160,000",10.980,"9,100,000",23.752,"10,500,000",40.937,"12,200,000",71.351,"14,000,000",,,,,,,,,,,,
"Gamma(⅙) [Series-Pi (Brown)]",,1.525,"16,300,000",3.222,"15,500,000",6.919,"14,400,000",17.956,"13,900,000",32.861,"15,200,000",58.336,"17,100,000",,,,,,,,,,,,
"Gamma(⅚) [AGM-Pi]",,3.910,"6,390,000",6.625,"7,540,000",11.337,"8,820,000",23.044,"10,800,000",38.637,"12,900,000",71.251,"14,000,000",,,,,,,,,,,,
"Gamma(⅚) [Series-Pi (Brown)]",,1.468,"17,000,000",3.154,"15,800,000",6.693,"14,900,000",17.623,"14,100,000",32.249,"15,500,000",57.149,"17,400,000",,,,,,,,,,,,
"Gauss [AGM]",,3.162,"7,900,000",4.870,"10,200,000",7.988,"12,500,000",15.325,"16,300,000",23.896,"20,900,000",45.120,"22,100,000",,,,,,,,,,,,
"Gauss [Series]",,2.334,"10,700,000",5.253,"9,510,000",12.067,"8,280,000",31.667,"7,890,000",59.017,"8,470,000",105.065,"9,510,000",,,,,,,,,,,,
"Golden Ratio [newton]",5,0.077,"324,000,000",0.130,"384,000,000",0.216,"462,000,000",0.449,"556,000,000",0.698,"716,000,000",1.173,"852,000,000",2.676,"934,000,000",5.187,"963,000,000",10.351,"966,000,000",27.408,"912,000,000",58.158,"859,000,000",139.935,"714,000,000"
"Khinchin-Levy [Definition]",,1.639,"15,200,000",3.081,"16,200,000",6.747,"14,800,000",17.377,"14,300,000",31.870,"15,600,000",56.260,"17,700,000",105.734,"23,600,000",,,,,,,,,,
"Lemniscate [Series-Pi]",9,2.810,"8,890,000",6.419,"7,780,000",14.579,"6,850,000",39.343,"6,350,000",71.435,"6,990,000",123.969,"8,060,000",242.980,"10,200,000",,,,,,,,,,
"Lemniscate Constant [agm-pi]",9,3.244,"7,700,000",5.433,"9,200,000",9.468,"10,500,000",20.319,"12,300,000",34.251,"14,500,000",58.956,"16,900,000",111.223,"22,400,000",,,,,,,,,,
"Log(10) [machin-primary]",12,1.255,"19,900,000",2.419,"20,600,000",5.219,"19,100,000",13.693,"18,200,000",24.500,"20,400,000",41.863,"23,800,000",89.193,"28,000,000",,,,,,,,,,
"Log(10) [machin-secondary]",12,1.284,"19,400,000",2.536,"19,700,000",5.525,"18,000,000",14.489,"17,200,000",26.208,"19,000,000",44.741,"22,300,000",94.332,"26,500,000",,,,,,,,,,
"Log(2) [machin-primary]",6,1.007,"24,800,000",2.067,"24,100,000",4.546,"21,900,000",11.938,"20,900,000",21.699,"23,000,000",37.054,"26,900,000",77.943,"32,000,000",,,,,,,,,,
"Log(2) [machin-secondary]",6,1.257,"19,800,000",2.428,"20,500,000",5.243,"19,000,000",13.705,"18,200,000",24.733,"20,200,000",42.038,"23,700,000",89.687,"27,800,000",,,,,,,,,,
"Log(3) [machin-primary]",,1.259,"19,800,000",2.434,"20,500,000",5.215,"19,100,000",13.750,"18,100,000",24.770,"20,100,000",41.933,"23,800,000",89.385,"27,900,000",,,,,,,,,,
"Log(3) [machin-secondary]",,1.309,"19,000,000",2.523,"19,800,000",5.367,"18,600,000",14.233,"17,500,000",25.691,"19,400,000",43.835,"22,800,000",92.739,"26,900,000",,,,,,,,,,
"Log(5) [machin-primary]",,1.246,"20,000,000",2.428,"20,500,000",5.224,"19,100,000",13.689,"18,200,000",24.680,"20,200,000",42.228,"23,600,000",89.100,"28,000,000",,,,,,,,,,
"Log(5) [machin-secondary]",,1.264,"19,700,000",2.503,"19,900,000",5.418,"18,400,000",14.240,"17,500,000",25.643,"19,400,000",43.322,"23,000,000",92.857,"26,900,000",,,,,,,,,,
"Log(7) [machin-primary]",,1.259,"19,800,000",2.390,"20,900,000",5.161,"19,300,000",13.808,"18,100,000",24.674,"20,200,000",42.135,"23,700,000",89.206,"28,000,000",,,,,,,,,,
"Log(7) [machin-secondary]",,1.249,"20,000,000",2.492,"20,000,000",5.361,"18,600,000",14.256,"17,500,000",25.610,"19,500,000",43.742,"22,800,000",92.562,"27,000,000",,,,,,,,,,
"Log(Pi) [Definition]",,5.755,"4,340,000",11.718,"4,260,000",21.918,"4,560,000",47.321,"5,280,000",81.084,"6,160,000",145.362,"6,870,000",,,,,,,,,,,,
"Log10(2) [Machin (4 terms)]",,1.581,"15,800,000",2.720,"18,300,000",5.880,"17,000,000",14.954,"16,700,000",27.590,"18,100,000",48.961,"20,400,000",90.597,"27,500,000",,,,,,,,,,
"Pi [chudnovsky]",1,0.426,"58,600,000",0.836,"59,800,000",1.740,"57,400,000",4.379,"57,000,000",7.866,"63,500,000",13.452,"74,300,000",28.740,"86,900,000",54.511,"91,700,000",108.866,"91,800,000",290.225,"86,100,000",680.307,"73,400,000",1567.232,"63,800,000"
"Pi^-1 [Native]",,0.432,"57,800,000",0.841,"59,400,000",1.779,"56,200,000",4.475,"55,800,000",8.089,"61,800,000",14.076,"71,000,000",28.794,"86,800,000",,,,,,,,,,
"Sin(1) [Series]",,0.158,"158,000,000",0.287,"174,000,000",0.548,"182,000,000",1.086,"230,000,000",1.696,"294,000,000",2.874,"347,000,000",6.787,"368,000,000",,,,,,,,,,
"Sin(1) [Triple Angle Formula]",,0.177,"141,000,000",0.322,"155,000,000",0.605,"165,000,000",1.184,"211,000,000",1.835,"272,000,000",3.236,"309,000,000",7.577,"329,000,000",,,,,,,,,,
"Sqrt(125) [newton]",5,0.078,"320,000,000",0.134,"373,000,000",0.218,"458,000,000",0.446,"560,000,000",0.709,"705,000,000",1.155,"865,000,000",2.997,"834,000,000",6.131,"815,000,000",12.231,"817,000,000",33.177,"753,000,000",68.021,"735,000,000",169.396,"590,000,000"
"Sqrt(2) [newton]",4,0.079,"316,000,000",0.131,"381,000,000",0.220,"454,000,000",0.443,"564,000,000",0.707,"707,000,000",1.166,"857,000,000",2.761,"905,000,000",5.354,"933,000,000",10.765,"928,000,000",27.876,"896,000,000",58.662,"852,000,000",141.292,"707,000,000"
"Sqrt(200) [newton]",4,0.078,"320,000,000",0.131,"381,000,000",0.218,"458,000,000",0.441,"566,000,000",0.709,"705,000,000",1.172,"853,000,000",2.955,"846,000,000",6.274,"796,000,000",12.640,"791,000,000",34.976,"714,000,000",73.024,"684,000,000",175.039,"571,000,000"
"Sqrt(325) [newton]",,0.077,"324,000,000",0.131,"381,000,000",0.219,"456,000,000",0.444,"563,000,000",0.689,"725,000,000",1.176,"850,000,000",2.551,"980,000,000",,,,,,,,,,
"Sqrt(Pi) [Simple]",,0.499,"50,100,000",0.939,"53,200,000",1.929,"51,800,000",4.784,"52,200,000",8.543,"58,500,000",14.547,"68,700,000",30.356,"82,300,000",,,,,,,,,,
"Universal Parabolic Constant [Definition]",,7.404,"3,370,000",12.690,"3,940,000",22.185,"4,500,000",45.921,"5,440,000",77.166,"6,470,000",144.556,"6,910,000",,,,,,,,,,,,
"Unnormalized Fresnel C(1) [Series]",,0.290,"86,200,000",0.525,"95,200,000",1.015,"98,500,000",2.447,"102,000,000",4.400,"113,000,000",7.490,"133,000,000",15.279,"163,000,000",,,,,,,,,,
"Unnormalized Fresnel S(1) [Series]",,0.289,"86,500,000",0.526,"95,000,000",1.013,"98,700,000",2.495,"100,000,000",4.448,"112,000,000",7.494,"133,000,000",15.269,"163,000,000",,,,,,,,,,
"Zeta(2) [Chudnovsky]",,0.399,"62,600,000",0.787,"63,500,000",1.668,"59,900,000",4.278,"58,400,000",7.752,"64,400,000",13.504,"74,000,000",28.126,"88,800,000",,,,,,,,,,
"Zeta(2) [Direct]",,0.541,"46,200,000",1.176,"42,500,000",2.609,"38,300,000",6.633,"37,600,000",11.921,"41,900,000",20.410,"48,900,000",42.987,"58,100,000",,,,,,,,,,
"Zeta(3) - Apery's Constant [az]",7,1.527,"16,300,000",3.568,"14,000,000",8.490,"11,700,000",22.099,"11,300,000",40.495,"12,300,000",69.275,"14,400,000",,,,,,,,,,,,
"Zeta(3) - Apery's Constant [wedeniwski]",7,1.442,"17,300,000",3.434,"14,500,000",8.030,"12,400,000",20.986,"11,900,000",38.825,"12,800,000",67.253,"14,800,000",,,,,,,,,,,,
"Zeta(4) [Chudnovsky]",,0.420,"59,500,000",0.793,"63,000,000",1.682,"59,400,000",4.314,"57,900,000",7.824,"63,900,000",13.579,"73,600,000",28.094,"88,900,000",,,,,,,,,,
"Zeta(4) [Direct]",,0.547,"45,700,000",1.188,"42,000,000",2.599,"38,400,000",6.630,"37,700,000",11.969,"41,700,000",20.348,"49,100,000",43.221,"57,800,000",,,,,,,,,,
"Zeta(5) [BBP-Kruse]",13,13.258,"1,880,000",30.895,"1,610,000",73.117,"1,360,000",194.054,"1,280,000",354.830,"1,400,000",632.764,"1,580,000",,,,,,,,,,,,
"Zeta(5) [Broadhurst (optimized)]",13,27.349,"914,000",62.995,"793,000",144.930,"689,000",380.970,"656,000",701.372,"712,000",1249.616,"800,000",,,,,,,,,,,,
"e [exp(-1)]",2,0.152,"164,000,000",0.277,"180,000,000",0.531,"188,000,000",1.053,"237,000,000",1.654,"302,000,000",2.792,"358,000,000",8.122,"307,000,000",16.571,"301,000,000",33.730,"296,000,000",92.673,"269,000,000",191.480,"261,000,000",466.193,"214,000,000"
"e [exp(1)]",2,0.153,"163,000,000",0.281,"177,000,000",0.536,"186,000,000",1.051,"237,000,000",1.644,"304,000,000",2.786,"358,000,000",7.739,"323,000,000",16.001,"312,000,000",32.790,"304,000,000",91.115,"274,000,000",191.891,"260,000,000",476.465,"209,000,000"
