,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"2^(⅐) [Native]",,0.082,"304,000,000",,,,,,,,,,,,,,,,,,,,,,
"2^(⅕) [Native]",,0.080,"312,000,000",,,,,,,,,,,,,,,,,,,,,,
"ArcCosh(e) [Log-Formula]",,3.306,"7,560,000",,,,,,,,,,,,,,,,,,,,,,
"ArcCoth(GoldenRatio) [Log-Formula]",,3.233,"7,730,000",,,,,,,,,,,,,,,,,,,,,,
"ArcSinh(e) [Log-Formula]",,3.221,"7,760,000",,,,,,,,,,,,,,,,,,,,,,
"ArcTanh(Pi^-1) [Log-Formula]",,3.481,"7,180,000",,,,,,,,,,,,,,,,,,,,,,
"ArcTanh(e^-1) [Log-Formula]",,3.218,"7,760,000",,,,,,,,,,,,,,,,,,,,,,
"BesselI(0,1) [Series]",,0.091,"274,000,000",,,,,,,,,,,,,,,,,,,,,,
"BesselJ(0,1) [Series]",,0.096,"260,000,000",,,,,,,,,,,,,,,,,,,,,,
"Bronze Ratio [Invsqrt]",,0.051,"490,000,000",,,,,,,,,,,,,,,,,,,,,,
"Catalan's Constant [guillera2019]",8,0.718,"34,800,000",,,,,,,,,,,,,,,,,,,,,,
"Catalan's Constant [pilehrood-short]",8,0.559,"44,700,000",,,,,,,,,,,,,,,,,,,,,,
"Cbrt(2) [Native]",,0.073,"342,000,000",,,,,,,,,,,,,,,,,,,,,,
"Cbrt(2) [Native2]",,0.073,"342,000,000",,,,,,,,,,,,,,,,,,,,,,
"Cbrt(3) [Native]",,0.074,"337,000,000",,,,,,,,,,,,,,,,,,,,,,
"Cbrt(3) [Native2]",,0.069,"362,000,000",,,,,,,,,,,,,,,,,,,,,,
"Cos(1) [Half Angle Formula]",,0.090,"277,000,000",,,,,,,,,,,,,,,,,,,,,,
"Cos(1) [Series]",,0.095,"263,000,000",,,,,,,,,,,,,,,,,,,,,,
"Erf(1) [Series]",,0.358,"69,800,000",,,,,,,,,,,,,,,,,,,,,,
"Erf(1) [Series-e]",,0.447,"55,900,000",,,,,,,,,,,,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-original]",3,4.633,"5,390,000",,,,,,,,,,,,,,,,,,,,,,
"Euler-Mascheroni Constant [brent-refined]",3,3.535,"7,070,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(¼) [AGM-Pi]",10,1.603,"15,500,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(¼) [Series-Pi (Brown)]",10,1.003,"24,900,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(¾) [AGM-Pi]",,1.574,"15,800,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(¾) [Series-Pi (Brown)]",,1.047,"23,800,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅓) [AGM-Pi]",11,1.854,"13,400,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅓) [Series-Pi (Brown)]",11,0.613,"40,700,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅔) [AGM-Pi]",,1.894,"13,100,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅔) [Series-Pi (Brown)]",,0.586,"42,600,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅙) [AGM-Pi]",,1.660,"15,000,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅙) [Series-Pi (Brown)]",,0.605,"41,300,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅚) [AGM-Pi]",,1.786,"13,900,000",,,,,,,,,,,,,,,,,,,,,,
"Gamma(⅚) [Series-Pi (Brown)]",,0.578,"43,200,000",,,,,,,,,,,,,,,,,,,,,,
"Gauss [AGM]",,1.483,"16,800,000",,,,,,,,,,,,,,,,,,,,,,
"Gauss [Series]",,0.744,"33,600,000",,,,,,,,,,,,,,,,,,,,,,
"Golden Ratio [newton]",5,0.042,"595,000,000",0.068,"735,000,000",0.095,"1,050,000,000",0.162,"1,540,000,000",0.287,"1,740,000,000",0.533,"1,870,000,000",1.333,"1,870,000,000",2.890,"1,730,000,000",6.231,"1,600,000,000",16.752,"1,490,000,000",36.814,"1,350,000,000",82.264,"1,210,000,000"
