,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Gamma(⅚) [AGM-Pi]",,1.884,"13,200,000",3.348,"14,900,000",6.363,"15,700,000",15.809,"15,800,000",31.302,"15,900,000",63.287,"15,800,000",170.239,"14,600,000",357.108,"14,000,000",,,,
"Gamma(⅚) [Series-Pi (Brown)]",,0.936,"26,700,000",1.963,"25,400,000",4.192,"23,800,000",10.881,"22,900,000",22.600,"22,100,000",47.508,"21,000,000",131.991,"18,900,000",,,,,,
"Gauss [AGM]",,1.316,"18,900,000",2.348,"21,200,000",4.446,"22,400,000",10.859,"23,000,000",21.199,"23,500,000",41.852,"23,800,000",112.252,"22,200,000",234.313,"21,300,000",526.434,"18,900,000",,
"Gauss [Series]",,1.479,"16,900,000",3.291,"15,100,000",7.326,"13,600,000",19.789,"12,600,000",41.834,"11,900,000",89.394,"11,100,000",248.618,"10,000,000",,,,,,
"Golden Ratio [newton]",5,0.045,"555,000,000",0.076,"657,000,000",0.134,"746,000,000",0.318,"786,000,000",0.616,"811,000,000",1.236,"809,000,000",3.171,"788,000,000",6.862,"728,000,000",14.317,"698,000,000",39.802,"628,000,000"
"Khinchin-Levy [Definition]",,0.894,"27,900,000",1.878,"26,600,000",4.004,"24,900,000",10.455,"23,900,000",21.724,"23,000,000",45.557,"21,900,000",124.304,"20,100,000",271.686,"18,400,000",,,,
"Log(10) [machin-primary]",12,0.727,"34,300,000",1.549,"32,200,000",3.330,"30,000,000",8.718,"28,600,000",17.971,"27,800,000",37.605,"26,500,000",102.672,"24,300,000",223.636,"22,300,000",488.443,"20,400,000",1395.074,"17,900,000"
"Log(10) [machin-secondary]",12,0.780,"32,000,000",1.649,"30,300,000",3.521,"28,400,000",9.272,"26,900,000",19.138,"26,100,000",40.128,"24,900,000",109.621,"22,800,000",239.357,"20,800,000",524.153,"19,000,000",1493.451,"16,700,000"
"Log(2) [machin-primary]",6,0.625,"40,000,000",1.347,"37,100,000",2.890,"34,600,000",7.580,"32,900,000",15.748,"31,700,000",33.328,"30,000,000",90.848,"27,500,000",198.281,"25,200,000",435.578,"22,900,000",1246.450,"20,000,000"
"Log(2) [machin-secondary]",6,0.733,"34,100,000",1.545,"32,300,000",3.331,"30,000,000",8.725,"28,600,000",17.939,"27,800,000",37.665,"26,500,000",102.809,"24,300,000",224.089,"22,300,000",488.499,"20,400,000",1394.300,"17,900,000"
"Log(3) [machin-primary]",,0.733,"34,100,000",1.550,"32,200,000",3.327,"30,000,000",8.714,"28,600,000",17.965,"27,800,000",37.729,"26,500,000",102.960,"24,200,000",224.613,"22,200,000",,,,
"Log(3) [machin-secondary]",,0.762,"32,800,000",1.616,"30,900,000",3.440,"29,000,000",9.070,"27,500,000",18.711,"26,700,000",39.355,"25,400,000",107.285,"23,300,000",234.615,"21,300,000",,,,
