,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"Log(10) [machin-secondary]",12,8.943,"2,790,000",20.107,"2,480,000",45.413,"2,200,000",131.905,"1,890,000",295.622,"1,690,000",666.778,"1,490,000",1914.043,"1,300,000"
"Log(2) [machin-primary]",6,7.378,"3,380,000",16.521,"3,020,000",37.351,"2,670,000",108.064,"2,310,000",243.675,"2,050,000",550.677,"1,810,000",1585.145,"1,570,000"
"Log(2) [machin-secondary]",6,8.430,"2,960,000",18.986,"2,630,000",43.215,"2,310,000",124.420,"2,000,000",279.623,"1,780,000",629.598,"1,580,000",1814.030,"1,370,000"
"Log(3) [machin-primary]",,8.467,"2,950,000",19.041,"2,620,000",43.224,"2,310,000",124.417,"2,000,000",279.619,"1,780,000",629.009,"1,580,000",1815.408,"1,370,000"
"Log(3) [machin-secondary]",,8.725,"2,860,000",19.785,"2,520,000",44.930,"2,220,000",130.294,"1,910,000",292.675,"1,700,000",658.465,"1,510,000",1908.069,"1,310,000"
"Log(5) [machin-primary]",,8.646,"2,890,000",19.462,"2,560,000",44.072,"2,260,000",126.824,"1,970,000",285.410,"1,750,000",640.740,"1,560,000",1840.569,"1,350,000"
"Log(5) [machin-secondary]",,9.002,"2,770,000",20.167,"2,470,000",45.898,"2,170,000",133.527,"1,870,000",299.358,"1,670,000",670.884,"1,490,000",1923.073,"1,300,000"
"Log(7) [machin-primary]",,8.680,"2,880,000",19.451,"2,570,000",44.044,"2,270,000",126.971,"1,960,000",285.871,"1,740,000",640.466,"1,560,000",1833.910,"1,360,000"
"Log(7) [machin-secondary]",,8.866,"2,810,000",19.962,"2,500,000",45.353,"2,200,000",131.454,"1,900,000",295.750,"1,690,000",663.969,"1,500,000",1898.142,"1,310,000"
"Log(Pi) [Definition]",,25.993,"961,000",57.614,"867,000",130.110,"768,000",385.632,"648,000",856.013,"584,000",1908.748,"523,000",5313.506,"470,000"
"Log10(2) [Machin (4 terms)]",,8.651,"2,880,000",19.420,"2,570,000",43.862,"2,270,000",126.851,"1,970,000",284.449,"1,750,000",638.208,"1,560,000",1840.302,"1,350,000"
"Pi [chudnovsky]",1,2.685,"9,310,000",6.023,"8,300,000",13.607,"7,340,000",39.593,"6,310,000",88.631,"5,640,000",200.965,"4,970,000",571.089,"4,370,000"
"Pi^-1 [Native]",,2.683,"9,310,000",6.065,"8,240,000",13.638,"7,330,000",39.608,"6,310,000",88.695,"5,630,000",200.840,"4,970,000",570.584,"4,380,000"
"Sin(1) [Series]",,0.976,"25,600,000",2.098,"23,800,000",4.577,"21,800,000",13.504,"18,500,000",29.194,"17,100,000",63.086,"15,800,000",172.992,"14,400,000"
"Sin(1) [Triple Angle Formula]",,1.057,"23,600,000",2.299,"21,700,000",5.022,"19,900,000",14.790,"16,900,000",31.973,"15,600,000",69.378,"14,400,000",186.802,"13,300,000"
"Sqrt(125) [newton]",5,0.310,"80,600,000",0.653,"76,500,000",1.417,"70,500,000",4.105,"60,900,000",8.899,"56,100,000",19.438,"51,400,000",53.647,"46,600,000"
"Sqrt(2) [newton]",4,0.311,"80,300,000",0.653,"76,500,000",1.414,"70,700,000",4.101,"60,900,000",8.897,"56,100,000",19.395,"51,500,000",53.584,"46,600,000"
"Sqrt(200) [newton]",4,0.310,"80,600,000",0.653,"76,500,000",1.414,"70,700,000",4.106,"60,800,000",8.929,"55,900,000",19.355,"51,600,000",53.870,"46,400,000"
"Sqrt(325) [newton]",,0.309,"80,900,000",0.655,"76,300,000",1.423,"70,200,000",4.090,"61,100,000",8.888,"56,200,000",19.310,"51,700,000",53.473,"46,700,000"
"Sqrt(Pi) [Simple]",,2.869,"8,710,000",6.427,"7,770,000",14.424,"6,930,000",42.050,"5,940,000",93.728,"5,330,000",212.263,"4,710,000",601.746,"4,150,000"
"Universal Parabolic Constant [Definition]",,25.317,"987,000",56.869,"879,000",126.639,"789,000",381.957,"654,000",847.500,"589,000",1893.905,"528,000",5251.660,"476,000"
"Unnormalized Fresnel C(1) [Series]",,1.839,"13,500,000",3.994,"12,500,000",8.676,"11,500,000",24.087,"10,300,000",51.934,"9,620,000",112.359,"8,900,000",311.772,"8,010,000"
"Unnormalized Fresnel S(1) [Series]",,1.852,"13,400,000",4.011,"12,400,000",8.673,"11,500,000",24.081,"10,300,000",51.854,"9,640,000",112.160,"8,910,000",311.725,"8,010,000"
"Zeta(2) [Chudnovsky]",,2.783,"8,980,000",6.235,"8,010,000",13.930,"7,170,000",40.169,"6,220,000",89.416,"5,590,000",201.534,"4,960,000",572.456,"4,360,000"
"Zeta(2) [Direct]",,4.004,"6,240,000",9.056,"5,520,000",20.453,"4,880,000",60.107,"4,150,000",135.264,"3,690,000",303.338,"3,290,000",874.871,"2,850,000"
"Zeta(4) [Chudnovsky]",,2.825,"8,840,000",6.338,"7,880,000",14.137,"7,070,000",40.992,"6,090,000",90.639,"5,510,000",204.964,"4,870,000",579.970,"4,310,000"
"Zeta(4) [Direct]",,4.062,"6,150,000",9.172,"5,450,000",20.681,"4,830,000",60.670,"4,120,000",136.421,"3,660,000",306.167,"3,260,000",881.591,"2,830,000"
"Zeta(5) [BBP-Kruse]",13,120.910,"206,000",273.215,"183,000",617.099,"162,000",1792.388,"139,000",4040.680,"123,000",9172.110,"109,000",,
"e [exp(-1)]",2,0.880,"28,400,000",1.907,"26,200,000",4.207,"23,700,000",12.691,"19,600,000",27.800,"17,900,000",60.466,"16,500,000",165.966,"15,000,000"
"e [exp(1)]",2,0.876,"28,500,000",1.909,"26,100,000",4.193,"23,800,000",12.674,"19,700,000",27.701,"18,000,000",60.114,"16,600,000",165.712,"15,000,000"
