,,25m,,50m,,100m,,250m,,500m,
"Log(Pi) [Definition]",,17.399,"1,430,000",38.062,"1,310,000",85.106,"1,170,000",251.288,"994,000",555.852,"899,000"
"Log10(2) [Machin (4 terms)]",,5.582,"4,470,000",12.724,"3,920,000",28.558,"3,500,000",83.055,"3,010,000",186.009,"2,680,000"
"Pi [chudnovsky]",1,1.696,"14,700,000",3.928,"12,700,000",8.765,"11,400,000",25.650,"9,740,000",57.566,"8,680,000"
"Pi^-1 [Native]",,1.724,"14,500,000",3.937,"12,700,000",8.786,"11,300,000",25.787,"9,690,000",57.571,"8,680,000"
"Sin(1) [Series]",,0.646,"38,600,000",1.365,"36,600,000",2.991,"33,400,000",8.715,"28,600,000",18.867,"26,500,000"
"Sin(1) [Triple Angle Formula]",,0.698,"35,800,000",1.486,"33,600,000",3.256,"30,700,000",9.521,"26,200,000",20.536,"24,300,000"
"Sqrt(125) [newton]",5,0.205,"121,000,000",0.430,"116,000,000",0.917,"109,000,000",2.594,"96,300,000",5.619,"88,900,000"
"Sqrt(2) [newton]",4,0.205,"121,000,000",0.430,"116,000,000",0.917,"109,000,000",2.564,"97,500,000",5.643,"88,600,000"
"Sqrt(200) [newton]",4,0.205,"121,000,000",0.430,"116,000,000",0.917,"109,000,000",2.595,"96,300,000",5.613,"89,000,000"
"Sqrt(325) [newton]",,0.205,"121,000,000",0.430,"116,000,000",0.917,"109,000,000",2.586,"96,600,000",5.619,"88,900,000"
"Sqrt(Pi) [Simple]",,1.867,"13,300,000",4.209,"11,800,000",9.352,"10,600,000",27.435,"9,110,000",61.080,"8,180,000"
"Universal Parabolic Constant [Definition]",,17.431,"1,430,000",38.190,"1,300,000",85.179,"1,170,000",252.396,"990,000",559.972,"892,000"
"Unnormalized Fresnel C(1) [Series]",,1.143,"21,800,000",2.504,"19,900,000",5.492,"18,200,000",15.584,"16,000,000",33.761,"14,800,000"
"Unnormalized Fresnel S(1) [Series]",,1.139,"21,900,000",2.496,"20,000,000",5.463,"18,300,000",15.552,"16,000,000",33.699,"14,800,000"
"Zeta(2) [Chudnovsky]",,1.732,"14,400,000",4.016,"12,400,000",8.939,"11,100,000",26.024,"9,600,000",58.057,"8,610,000"
"Zeta(2) [Direct]",,2.583,"9,670,000",5.883,"8,490,000",13.325,"7,500,000",39.174,"6,380,000",88.298,"5,660,000"
"Zeta(4) [Chudnovsky]",,1.794,"13,900,000",4.076,"12,200,000",9.088,"11,000,000",26.492,"9,430,000",58.809,"8,500,000"
"Zeta(4) [Direct]",,2.588,"9,650,000",5.942,"8,410,000",13.485,"7,410,000",39.540,"6,320,000",89.112,"5,610,000"
"Zeta(5) [BBP-Kruse]",13,76.582,"326,000",173.822,"287,000",393.494,"254,000",1155.539,"216,000",,
"e [exp(-1)]",2,0.590,"42,300,000",1.250,"40,000,000",2.773,"36,000,000",8.202,"30,400,000",17.927,"27,800,000"
"e [exp(1)]",2,0.587,"42,500,000",1.289,"38,700,000",2.736,"36,500,000",8.192,"30,500,000",17.870,"27,900,000"
