,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Pi [chudnovsky]",1,0.216,"115,000,000",0.285,"175,000,000",0.642,"155,000,000",1.776,"140,000,000",3.728,"134,000,000",6.547,"152,000,000",13.554,"184,000,000",25.334,"197,000,000",51.134,"195,000,000",140.286,"178,000,000",321.970,"155,000,000",771.266,"129,000,000"
"e [exp(1)]",2,0.090,"277,000,000",0.118,"423,000,000",0.195,"512,000,000",0.586,"426,000,000",0.868,"576,000,000",1.236,"809,000,000",2.788,"896,000,000",5.550,"900,000,000",12.462,"802,000,000",34.743,"719,000,000",,,,
