,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,
"Pi [chudnovsky]",1,0.215,"116,000,000",0.280,"178,000,000",0.618,"161,000,000",1.683,"148,000,000",3.493,"143,000,000",6.350,"157,000,000",13.157,"190,000,000",24.976,"200,000,000",51.133,"195,000,000",143.020,"174,000,000",324.662,"154,000,000",767.907,"130,000,000",2405.227,"103,000,000"
"e [exp(1)]",2,0.089,"280,000,000",0.116,"431,000,000",0.189,"529,000,000",0.538,"464,000,000",0.767,"651,000,000",1.184,"844,000,000",2.675,"934,000,000",5.501,"908,000,000",12.397,"806,000,000",35.196,"710,000,000",79.888,"625,000,000",188.720,"529,000,000",608.435,"410,000,000"
