,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,,500b,
"Golden Ratio [newton]",5,0.042,"595,000,000",0.060,"833,000,000",0.113,"884,000,000",0.216,"1,150,000,000",0.382,"1,300,000,000",0.721,"1,380,000,000",1.907,"1,310,000,000",4.293,"1,160,000,000",9.582,"1,040,000,000",26.322,"949,000,000",57.978,"862,000,000",128.301,"779,000,000",352.401,"709,000,000",719.470,"694,000,000"
"Pi [chudnovsky]",1,0.250,"100,000,000",0.454,"110,000,000",0.844,"118,000,000",1.976,"126,000,000",3.794,"131,000,000",7.650,"130,000,000",20.425,"122,000,000",45.675,"109,000,000",101.468,"98,500,000",297.622,"83,900,000",678.016,"73,700,000",1549.991,"64,500,000",4488.317,"55,700,000",9685.917,"51,600,000"
