,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,
"Gamma(⅔) [AGM-Pi]",,9.066,"2,750,000",19.835,"2,520,000",44.296,"2,250,000",132.303,"1,880,000",292.413,"1,700,000",632.406,"1,580,000",1630.176,"1,530,000"
"Gamma(⅔) [Series-Pi (Brown)]",,6.980,"3,580,000",15.785,"3,160,000",35.524,"2,810,000",103.850,"2,400,000",232.666,"2,140,000",514.181,"1,940,000",1470.044,"1,700,000"
"Gamma(⅙) [AGM-Pi]",,8.797,"2,840,000",19.189,"2,600,000",42.797,"2,330,000",127.915,"1,950,000",282.664,"1,760,000",611.255,"1,630,000",1581.978,"1,580,000"
"Gamma(⅙) [Series-Pi (Brown)]",,6.982,"3,580,000",15.852,"3,150,000",35.434,"2,820,000",103.724,"2,410,000",232.214,"2,150,000",513.444,"1,940,000",1468.413,"1,700,000"
"Gamma(⅚) [AGM-Pi]",,8.823,"2,830,000",19.227,"2,600,000",43.002,"2,320,000",127.698,"1,950,000",282.629,"1,760,000",612.373,"1,630,000",1585.702,"1,570,000"
"Gamma(⅚) [Series-Pi (Brown)]",,6.874,"3,630,000",15.574,"3,210,000",35.022,"2,850,000",102.354,"2,440,000",229.517,"2,170,000",507.871,"1,960,000",1456.100,"1,710,000"
"Gauss [AGM]",,5.766,"4,330,000",12.420,"4,020,000",27.645,"3,610,000",83.131,"3,000,000",183.072,"2,730,000",392.482,"2,540,000",973.974,"2,560,000"
"Gauss [Series]",,12.936,"1,930,000",29.703,"1,680,000",66.999,"1,490,000",194.661,"1,280,000",439.044,"1,130,000",986.485,"1,010,000",2857.446,"874,000"
"Golden Ratio [newton]",5,0.206,"121,000,000",0.432,"115,000,000",0.921,"108,000,000",2.585,"96,700,000",5.667,"88,200,000",12.343,"81,000,000",33.799,"73,900,000"
"Khinchin-Levy [Definition]",,6.519,"3,830,000",14.824,"3,370,000",33.326,"3,000,000",96.961,"2,570,000",217.040,"2,300,000",487.445,"2,050,000",1381.927,"1,800,000"
"Lemniscate Constant [guillera]",9,3.285,"7,610,000",7.467,"6,690,000",16.710,"5,980,000",49.466,"5,050,000",111.529,"4,480,000",247.500,"4,040,000",689.849,"3,620,000"
"Lemniscate Constant [zuniga2023x]",9,3.261,"7,660,000",7.459,"6,700,000",16.794,"5,950,000",49.236,"5,070,000",110.572,"4,520,000",245.685,"4,070,000",705.113,"3,540,000"
"Log(10) [machin-primary]",12,5.484,"4,550,000",12.583,"3,970,000",28.228,"3,540,000",81.920,"3,050,000",184.011,"2,710,000",409.724,"2,440,000",1167.497,"2,140,000"
"Log(10) [machin-secondary]",12,5.809,"4,300,000",13.214,"3,780,000",29.675,"3,360,000",86.927,"2,870,000",194.365,"2,570,000",434.483,"2,300,000",1230.330,"2,030,000"
"Log(2) [machin-primary]",6,4.785,"5,220,000",10.887,"4,590,000",24.557,"4,070,000",70.865,"3,520,000",159.256,"3,130,000",359.011,"2,780,000",1018.967,"2,450,000"
"Log(2) [machin-secondary]",6,5.475,"4,560,000",12.534,"3,980,000",28.107,"3,550,000",81.793,"3,050,000",183.622,"2,720,000",409.852,"2,430,000",1167.539,"2,140,000"
"Log(3) [machin-primary]",,5.489,"4,550,000",12.524,"3,990,000",28.231,"3,540,000",82.181,"3,040,000",184.563,"2,700,000",410.280,"2,430,000",1166.531,"2,140,000"
"Log(3) [machin-secondary]",,5.712,"4,370,000",13.030,"3,830,000",29.305,"3,410,000",85.967,"2,900,000",192.939,"2,590,000",428.525,"2,330,000",1208.385,"2,060,000"
"Log(5) [machin-primary]",,5.490,"4,550,000",12.548,"3,980,000",28.182,"3,540,000",82.274,"3,030,000",184.514,"2,700,000",410.073,"2,430,000",1167.307,"2,140,000"
