,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Golden Ratio [newton]",5,0.037,"675,000,000",0.052,"961,000,000",0.079,"1,260,000,000",0.184,"1,350,000,000",0.310,"1,610,000,000",0.457,"2,180,000,000",0.987,"2,530,000,000",1.958,"2,550,000,000",4.397,"2,270,000,000",12.523,"1,990,000,000",29.250,"1,700,000,000",68.962,"1,450,000,000"
"Pi [chudnovsky]",1,0.212,"117,000,000",0.278,"179,000,000",0.630,"158,000,000",1.703,"146,000,000",3.565,"140,000,000",6.256,"159,000,000",13.152,"190,000,000",24.728,"202,000,000",50.452,"198,000,000",139.420,"179,000,000",317.876,"157,000,000",755.545,"132,000,000"
"e [exp(1)]",2,0.090,"277,000,000",0.111,"450,000,000",0.188,"531,000,000",0.561,"445,000,000",0.809,"618,000,000",1.192,"838,000,000",2.711,"922,000,000",5.442,"918,000,000",12.184,"820,000,000",34.377,"727,000,000",77.644,"643,000,000",185.210,"539,000,000"
