,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.108,"231,000,000",0.195,"256,000,000",0.373,"268,000,000",0.958,"260,000,000",1.900,"263,000,000",3.894,"256,000,000",10.336,"241,000,000",22.243,"224,000,000",47.366,"211,000,000",131.758,"189,000,000",,
"Amazon Web Services [c5d.large]",1.745,"14,300,000",3.893,"12,800,000",8.426,"11,800,000",24.482,"10,200,000",52.798,"9,470,000",936.431,"1,060,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.083,"301,000,000",0.151,"331,000,000",0.291,"343,000,000",0.730,"342,000,000",1.416,"353,000,000",2.859,"349,000,000",7.750,"322,000,000",16.632,"300,000,000",35.593,"280,000,000",94.734,"263,000,000",201.580,"248,000,000"
"Amazon Web Services [m6i.large]",1.399,"17,800,000",3.080,"16,200,000",6.599,"15,100,000",18.345,"13,600,000",39.258,"12,700,000",84.758,"11,700,000",,,,,,,,,,
"Amazon Web Services [t3.small]",2.082,"12,000,000",4.536,"11,000,000",9.886,"10,100,000",28.435,"8,790,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",2.134,"11,700,000",4.613,"10,800,000",9.944,"10,000,000",28.254,"8,840,000",61.180,"8,170,000",131.700,"7,590,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.177,"141,000,000",0.322,"155,000,000",0.605,"165,000,000",1.184,"211,000,000",1.835,"272,000,000",3.236,"309,000,000",7.577,"329,000,000",,,,,,,,
