,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.177,"141,000,000",0.331,"151,000,000",0.612,"163,000,000",1.488,"168,000,000",2.982,"167,000,000",6.205,"161,000,000",16.337,"153,000,000",34.861,"143,000,000",74.506,"134,000,000",204.883,"122,000,000"
"Amazon Web Services [r5d.24xlarge]",0.186,"134,000,000",0.336,"148,000,000",0.632,"158,000,000",1.541,"162,000,000",3.095,"161,000,000",6.392,"156,000,000",16.763,"149,000,000",,,,,,
