,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,
"Amazon Web Services [c5d.24xlarge]",0.762,"32,800,000",1.619,"30,800,000",3.448,"29,000,000",9.082,"27,500,000",18.742,"26,600,000",39.331,"25,400,000",107.283,"23,300,000",234.910,"21,200,000"
"Amazon Web Services [c5d.large]",13.900,"1,790,000",31.553,"1,580,000",72.139,"1,380,000",213.468,"1,170,000",479.180,"1,040,000",,,,,,
"Amazon Web Services [t3.small]",16.372,"1,520,000",36.859,"1,350,000",84.158,"1,180,000",249.916,"1,000,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",1.427,"17,500,000",2.662,"18,700,000",5.729,"17,400,000",15.262,"16,300,000",27.784,"17,900,000",49.448,"20,200,000",,,,
