,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.367,"68,100,000",0.779,"64,100,000",1.633,"61,200,000",4.217,"59,200,000",8.782,"56,900,000",18.708,"53,400,000",51.340,"48,600,000",112.051,"44,600,000",247.873,"40,300,000",713.606,"35,000,000",,
"Amazon Web Services [c5d.large]",6.526,"3,830,000",14.988,"3,330,000",34.424,"2,900,000",102.364,"2,440,000",231.640,"2,150,000",,,,,,,,,,,,
"Amazon Web Services [c7i.large]",4.072,"6,130,000",9.195,"5,430,000",20.772,"4,810,000",61.097,"4,090,000",137.782,"3,620,000",,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.509,"49,100,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",6.217,"4,020,000",14.036,"3,560,000",32.315,"3,090,000",94.219,"2,650,000",212.057,"2,350,000",481.691,"2,070,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.439,"56,900,000",0.696,"71,800,000",1.372,"72,800,000",3.517,"71,000,000",6.967,"71,700,000",14.389,"69,400,000",38.982,"64,100,000",84.677,"59,000,000",184.686,"54,100,000",523.815,"47,700,000",1145.521,"43,600,000"
"Amazon Web Services [m6i.large]",5.210,"4,790,000",11.817,"4,230,000",26.915,"3,710,000",79.038,"3,160,000",176.289,"2,830,000",396.669,"2,520,000",,,,,,,,,,
"Amazon Web Services [m7a.large]",2.518,"9,920,000",5.814,"8,590,000",13.305,"7,510,000",39.027,"6,400,000",87.736,"5,690,000",195.822,"5,100,000",,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.214,"116,000,000",,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",3.998,"6,250,000",9.002,"5,550,000",20.412,"4,890,000",60.263,"4,140,000",135.356,"3,690,000",304.447,"3,280,000",,,,,,,,,,
"Amazon Web Services [t3.small]",7.743,"3,220,000",17.688,"2,820,000",40.438,"2,470,000",120.022,"2,080,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",8.196,"3,050,000",18.588,"2,680,000",41.685,"2,390,000",121.830,"2,050,000",275.539,"1,810,000",629.063,"1,580,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.541,"46,200,000",1.176,"42,500,000",2.609,"38,300,000",6.633,"37,600,000",11.921,"41,900,000",20.410,"48,900,000",42.987,"58,100,000",,,,,,,,
