,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,
"Amazon Web Services [c5d.24xlarge]",0.298,"83,800,000",0.586,"85,300,000",1.229,"81,300,000",3.120,"80,100,000",6.328,"79,000,000",13.131,"76,100,000",35.569,"70,200,000",77.317,"64,600,000",,,,,,
"Amazon Web Services [c5d.large]",4.761,"5,250,000",10.841,"4,610,000",24.590,"4,060,000",72.581,"3,440,000",162.312,"3,080,000",,,,,,,,,,,,
"Amazon Web Services [m6a.large]",4.407,"5,670,000",10.040,"4,980,000",22.527,"4,430,000",65.659,"3,800,000",146.109,"3,420,000",327.144,"3,050,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.337,"74,100,000",0.527,"94,800,000",1.006,"99,400,000",2.539,"98,400,000",5.020,"99,600,000",10.013,"99,800,000",26.975,"92,600,000",58.111,"86,000,000",125.664,"79,500,000",345.987,"72,200,000",763.075,"65,500,000"
"Amazon Web Services [m6i.large]",3.735,"6,690,000",8.506,"5,870,000",18.938,"5,280,000",54.806,"4,560,000",121.982,"4,090,000",271.496,"3,680,000",,,,,,,,,,
"Amazon Web Services [t3.small]",5.592,"4,470,000",12.765,"3,910,000",28.698,"3,480,000",84.077,"2,970,000",,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",5.836,"4,280,000",13.221,"3,780,000",29.619,"3,370,000",85.721,"2,910,000",189.805,"2,630,000",424.721,"2,350,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.499,"50,100,000",0.939,"53,200,000",1.929,"51,800,000",4.784,"52,200,000",8.543,"58,500,000",14.547,"68,700,000",30.356,"82,300,000",,,,,,,,
