,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",3.439,"7,260,000",6.550,"7,630,000",12.455,"8,020,000",31.621,"7,900,000",62.969,"7,940,000",128.411,"7,780,000",349.610,"7,150,000",,,,
"Amazon Web Services [c5d.large]",45.772,"546,000",103.774,"481,000",230.244,"434,000",685.289,"364,000",1512.498,"330,000",,,,,,,,
"Amazon Web Services [m6a.large]",43.022,"581,000",93.695,"533,000",204.789,"488,000",608.618,"410,000",1320.661,"378,000",2892.840,"345,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",3.336,"7,490,000",5.320,"9,390,000",9.713,"10,200,000",23.739,"10,500,000",47.129,"10,600,000",92.369,"10,800,000",257.729,"9,700,000",550.207,"9,080,000",1185.278,"8,430,000"
"Amazon Web Services [m6i.large]",35.080,"712,000",77.238,"647,000",168.104,"594,000",483.440,"517,000",1066.713,"468,000",2372.385,"421,000",,,,,,
"Amazon Web Services [t3.small]",52.637,"474,000",119.447,"418,000",264.558,"377,000",777.265,"321,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",6.973,"3,580,000",12.290,"4,060,000",22.382,"4,460,000",48.340,"5,170,000",83.504,"5,980,000",145.104,"6,890,000",,,,,,
