,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,
"Amazon Web Services [c5d.24xlarge]",8.562,"2,910,000",19.574,"2,550,000",44.055,"2,260,000",119.973,"2,080,000",253.519,"1,970,000",539.872,"1,850,000",1498.138,"1,660,000",,
"Amazon Web Services [c5d.large]",190.283,"131,000",434.131,"115,000",985.684,"101,000",2908.426,"85,900",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",10.279,"2,430,000",27.175,"1,830,000",63.218,"1,580,000",,,,,,,,,,
"Amazon Web Services [m6a.large]",177.160,"141,000",401.474,"124,000",910.561,"109,000",2692.875,"92,800",6096.765,"82,000",13641.530,"73,300",,,,
"Amazon Web Services [m6i.32xlarge]",11.685,"2,130,000",19.226,"2,600,000",39.045,"2,560,000",99.555,"2,510,000",202.536,"2,460,000",421.206,"2,370,000",1152.336,"2,160,000",2499.511,"2,000,000"
"Amazon Web Services [m6i.large]",154.186,"162,000",347.978,"143,000",783.278,"127,000",2276.230,"109,000",5091.049,"98,200",,,,,,
"Amazon Web Services [r5d.24xlarge]",8.878,"2,810,000",20.278,"2,460,000",45.526,"2,190,000",123.093,"2,030,000",,,,,,,,
"Amazon Web Services [t3.small]",226.566,"110,000",514.960,"97,000",1161.833,"86,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",13.258,"1,880,000",30.895,"1,610,000",73.117,"1,360,000",194.054,"1,280,000",354.830,"1,400,000",632.764,"1,580,000",,,,
