,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,125b,
"Amazon Web Services [c5d.24xlarge]",1.479,"16,900,000",3.291,"15,100,000",7.326,"13,600,000",19.789,"12,600,000",41.834,"11,900,000",89.394,"11,100,000",248.618,"10,000,000",,
"Amazon Web Services [c5d.large]",32.954,"758,000",74.791,"668,000",169.933,"588,000",511.130,"489,000",1160.354,"430,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",1.969,"12,600,000",3.128,"15,900,000",6.340,"15,700,000",16.221,"15,400,000",33.159,"15,000,000",69.148,"14,400,000",189.368,"13,200,000",,
"Amazon Web Services [m6i.large]",26.954,"927,000",61.207,"816,000",137.257,"728,000",397.176,"629,000",893.777,"559,000",1987.545,"503,000",,,,
"Amazon Web Services [r5d.24xlarge]",1.548,"16,100,000",3.431,"14,500,000",7.585,"13,100,000",20.508,"12,100,000",43.116,"11,500,000",91.774,"10,800,000",256.440,"9,740,000",22869.346,"5,460,000"
"Amazon Web Services [t3.small]",39.783,"628,000",90.537,"552,000",204.760,"488,000",598.254,"417,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",2.334,"10,700,000",5.253,"9,510,000",12.067,"8,280,000",31.667,"7,890,000",59.017,"8,470,000",105.065,"9,510,000",,,,
