,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.045,"555,000,000",0.076,"657,000,000",0.132,"757,000,000",0.317,"788,000,000",0.619,"807,000,000",1.237,"808,000,000",3.198,"781,000,000",6.877,"727,000,000",14.479,"690,000,000",40.036,"624,000,000",,,,
"Amazon Web Services [c5d.large]",0.484,"51,600,000",1.056,"47,300,000",2.333,"42,800,000",6.802,"36,700,000",14.693,"34,000,000",,,,,,,,,,,,,,
"Amazon Web Services [c7a.large]",0.205,"121,000,000",0.430,"116,000,000",0.917,"109,000,000",2.594,"96,300,000",5.619,"88,900,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.315,"79,300,000",0.666,"75,000,000",1.448,"69,000,000",4.173,"59,900,000",9.081,"55,000,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.060,"416,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.478,"52,300,000",1.025,"48,700,000",2.230,"44,800,000",6.121,"40,800,000",13.344,"37,400,000",29.355,"34,000,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.031,"806,000,000",0.062,"806,000,000",0.107,"934,000,000",0.257,"972,000,000",0.455,"1,090,000,000",0.881,"1,130,000,000",2.233,"1,110,000,000",4.894,"1,020,000,000",10.354,"965,000,000",29.909,"835,000,000",63.829,"783,000,000",134.612,"742,000,000"
"Amazon Web Services [m6i.large]",0.386,"64,700,000",0.826,"60,500,000",1.813,"55,100,000",5.101,"49,000,000",10.980,"45,500,000",23.689,"42,200,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.198,"126,000,000",0.421,"118,000,000",0.902,"110,000,000",2.564,"97,500,000",5.647,"88,500,000",12.364,"80,800,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.049,"510,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.308,"81,100,000",0.651,"76,800,000",1.412,"70,800,000",4.095,"61,000,000",8.921,"56,000,000",19.520,"51,200,000",,,,,,,,,,,,
"Amazon Web Services [r7a.large]",0.206,"121,000,000",0.431,"116,000,000",0.919,"108,000,000",2.561,"97,600,000",5.634,"88,700,000",12.343,"81,000,000",33.771,"74,000,000",,,,,,,,,,
"Amazon Web Services [r7i.large]",0.310,"80,600,000",0.653,"76,500,000",1.417,"70,500,000",4.105,"60,900,000",8.899,"56,100,000",19.438,"51,400,000",53.647,"46,600,000",,,,,,,,,,
"Amazon Web Services [t3.small]",0.560,"44,600,000",1.210,"41,300,000",2.668,"37,400,000",7.802,"32,000,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.623,"40,100,000",1.331,"37,500,000",2.968,"33,600,000",8.093,"30,800,000",17.988,"27,700,000",39.350,"25,400,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.078,"320,000,000",0.134,"373,000,000",0.218,"458,000,000",0.446,"560,000,000",0.709,"705,000,000",1.155,"865,000,000",2.997,"834,000,000",6.131,"815,000,000",12.231,"817,000,000",33.177,"753,000,000",68.021,"735,000,000",169.396,"590,000,000"
