,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.045,"555,000,000",0.075,"666,000,000",0.132,"757,000,000",0.319,"783,000,000",0.618,"809,000,000",1.235,"809,000,000",3.168,"789,000,000",6.860,"728,000,000",14.518,"688,000,000",39.749,"628,000,000"
"Amazon Web Services [c5d.large]",0.482,"51,800,000",1.053,"47,400,000",2.350,"42,500,000",6.777,"36,800,000",14.709,"33,900,000",,,,,,,,,,
"Amazon Web Services [t3.small]",0.561,"44,500,000",1.210,"41,300,000",2.670,"37,400,000",7.806,"32,000,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.079,"316,000,000",0.136,"367,000,000",0.219,"456,000,000",0.468,"534,000,000",0.729,"685,000,000",1.313,"761,000,000",,,,,,,,
