,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Amazon Web Services [c5d.24xlarge]",0.068,"367,000,000",0.112,"446,000,000",0.197,"507,000,000",0.460,"543,000,000",0.881,"567,000,000",1.738,"575,000,000",4.551,"549,000,000",9.410,"531,000,000",20.164,"495,000,000",55.308,"452,000,000"
"Amazon Web Services [c5d.large]",0.697,"35,800,000",1.509,"33,100,000",3.380,"29,500,000",9.677,"25,800,000",20.750,"24,000,000",,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.055,"454,000,000",0.092,"543,000,000",0.154,"649,000,000",0.364,"686,000,000",0.652,"766,000,000",1.218,"821,000,000",3.146,"794,000,000",,,,,,
"Amazon Web Services [m6i.large]",0.552,"45,200,000",1.189,"42,000,000",2.563,"39,000,000",7.185,"34,700,000",15.305,"32,600,000",32.924,"30,300,000",,,,,,,,
"Amazon Web Services [t3.small]",0.802,"31,100,000",1.723,"29,000,000",3.833,"26,000,000",11.047,"22,600,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.882,"28,300,000",1.885,"26,500,000",4.044,"24,700,000",11.200,"22,300,000",24.282,"20,500,000",52.354,"19,100,000",,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.125,"200,000,000",0.198,"252,000,000",0.337,"296,000,000",0.676,"369,000,000",1.020,"490,000,000",1.904,"525,000,000",,,,,,,,
