,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,
"Amazon Web Services [c5d.24xlarge]",0.765,"32,600,000",1.617,"30,900,000",3.450,"28,900,000",9.080,"27,500,000",18.763,"26,600,000",39.326,"25,400,000",107.162,"23,300,000",234.973,"21,200,000"
"Amazon Web Services [c5d.large]",13.868,"1,800,000",31.544,"1,580,000",72.123,"1,380,000",213.411,"1,170,000",479.815,"1,040,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",0.996,"25,100,000",1.546,"32,300,000",3.005,"33,200,000",7.621,"32,800,000",15.061,"33,100,000",30.876,"32,300,000",82.564,"30,200,000",,
"Amazon Web Services [m6i.large]",10.964,"2,280,000",24.937,"2,000,000",56.413,"1,770,000",164.217,"1,520,000",364.765,"1,370,000",815.628,"1,220,000",,,,
"Amazon Web Services [t3.small]",16.368,"1,520,000",37.063,"1,340,000",84.328,"1,180,000",248.642,"1,000,000",,,,,,,,
"Google Cloud Platform [n2d-standard-2]",17.229,"1,450,000",38.822,"1,280,000",88.510,"1,120,000",261.038,"957,000",583.272,"857,000",1301.010,"768,000",,,,
"Google Cloud Platform [n2d-standard-224]",1.264,"19,700,000",2.503,"19,900,000",5.418,"18,400,000",14.240,"17,500,000",25.643,"19,400,000",43.322,"23,000,000",92.857,"26,900,000",,
