,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.045,"555,000,000",0.076,"657,000,000",0.133,"751,000,000",0.314,"796,000,000",0.609,"821,000,000",1.231,"812,000,000",3.173,"787,000,000",6.867,"728,000,000",14.398,"694,000,000",39.567,"631,000,000",,,,
"Amazon Web Services [c5d.large]",0.471,"53,000,000",1.023,"48,800,000",2.276,"43,900,000",6.583,"37,900,000",14.282,"35,000,000",197.174,"5,070,000",,,,,,,,,,,,
"Amazon Web Services [i3en.large]",0.414,"60,300,000",0.904,"55,300,000",2.020,"49,500,000",5.913,"42,200,000",12.824,"38,900,000",27.605,"36,200,000",72.953,"34,200,000",372.687,"13,400,000",,,,,,,,
"Amazon Web Services [m5zn.metal]",0.044,"568,000,000",0.078,"641,000,000",0.149,"671,000,000",0.374,"668,000,000",0.747,"669,000,000",1.539,"649,000,000",4.187,"597,000,000",8.932,"559,000,000",18.869,"529,000,000",52.468,"476,000,000",,,,
"Amazon Web Services [m6a.48xlarge]",0.062,"403,000,000",0.107,"467,000,000",0.192,"520,000,000",,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.479,"52,100,000",1.030,"48,500,000",2.230,"44,800,000",6.108,"40,900,000",13.321,"37,500,000",29.090,"34,300,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.031,"806,000,000",0.062,"806,000,000",0.107,"934,000,000",0.259,"965,000,000",0.462,"1,080,000,000",0.879,"1,130,000,000",2.246,"1,110,000,000",4.864,"1,020,000,000",10.493,"953,000,000",30.085,"830,000,000",63.871,"782,000,000",135.334,"738,000,000"
"Amazon Web Services [m6i.large]",0.384,"65,100,000",0.840,"59,500,000",1.781,"56,100,000",5.172,"48,300,000",11.010,"45,400,000",23.671,"42,200,000",,,,,,,,,,,,
"Amazon Web Services [r5d.24xlarge]",0.048,"520,000,000",0.079,"632,000,000",0.138,"724,000,000",0.329,"759,000,000",0.646,"773,000,000",1.280,"781,000,000",3.322,"752,000,000",7.001,"714,000,000",14.670,"681,000,000",39.805,"628,000,000",87.817,"569,000,000",190.091,"526,000,000"
"Amazon Web Services [t3.small]",0.558,"44,800,000",1.211,"41,200,000",2.684,"37,200,000",7.757,"32,200,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.622,"40,100,000",1.335,"37,400,000",2.923,"34,200,000",8.026,"31,100,000",17.526,"28,500,000",38.022,"26,300,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.079,"316,000,000",0.131,"381,000,000",0.220,"454,000,000",0.443,"564,000,000",0.707,"707,000,000",1.166,"857,000,000",2.761,"905,000,000",5.354,"933,000,000",10.765,"928,000,000",27.876,"896,000,000",58.662,"852,000,000",141.292,"707,000,000"
