,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,
"Amazon Web Services [c5d.24xlarge]",0.067,"373,000,000",0.112,"446,000,000",0.196,"510,000,000",0.464,"538,000,000",0.882,"566,000,000",1.739,"575,000,000",4.529,"551,000,000",9.436,"529,000,000",20.240,"494,000,000",55.266,"452,000,000",,,,
"Amazon Web Services [c5d.large]",0.696,"35,900,000",1.511,"33,000,000",3.356,"29,700,000",9.705,"25,700,000",20.879,"23,900,000",,,,,,,,,,,,,,
"Amazon Web Services [c7i.large]",0.439,"56,900,000",0.942,"53,000,000",2.058,"48,500,000",5.860,"42,600,000",12.722,"39,300,000",,,,,,,,,,,,,,
"Amazon Web Services [m6a.48xlarge]",0.084,"297,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",0.681,"36,700,000",1.451,"34,400,000",3.109,"32,100,000",8.626,"28,900,000",18.456,"27,000,000",40.189,"24,800,000",,,,,,,,,,,,
"Amazon Web Services [m6i.32xlarge]",0.055,"454,000,000",0.091,"549,000,000",0.153,"653,000,000",0.365,"684,000,000",0.651,"768,000,000",1.224,"816,000,000",3.163,"790,000,000",6.715,"744,000,000",14.352,"696,000,000",39.087,"639,000,000",82.292,"607,000,000",174.603,"572,000,000"
"Amazon Web Services [m6i.large]",0.555,"45,000,000",1.190,"42,000,000",2.566,"38,900,000",7.185,"34,700,000",15.361,"32,500,000",32.990,"30,300,000",,,,,,,,,,,,
"Amazon Web Services [m7a.large]",0.292,"85,600,000",0.615,"81,300,000",1.308,"76,400,000",3.792,"65,900,000",8.226,"60,700,000",17.648,"56,600,000",,,,,,,,,,,,
"Amazon Web Services [m7i.48xlarge]",0.074,"337,000,000",,,,,,,,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",0.431,"58,000,000",0.923,"54,100,000",2.002,"49,900,000",5.714,"43,700,000",12.416,"40,200,000",27.009,"37,000,000",,,,,,,,,,,,
"Amazon Web Services [t3.small]",0.804,"31,000,000",1.756,"28,400,000",3.903,"25,600,000",11.057,"22,600,000",,,,,,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",0.886,"28,200,000",1.903,"26,200,000",4.024,"24,800,000",11.248,"22,200,000",24.388,"20,500,000",52.487,"19,000,000",,,,,,,,,,,,
"Google Cloud Platform [n2d-standard-224]",0.118,"211,000,000",0.193,"259,000,000",0.321,"311,000,000",0.618,"404,000,000",0.979,"510,000,000",1.686,"593,000,000",3.557,"702,000,000",,,,,,,,,,
