,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,
"Amazon Web Services [c5d.24xlarge]",0.730,"34,200,000",1.549,"32,200,000",3.336,"29,900,000",8.712,"28,600,000",17.909,"27,900,000",37.659,"26,500,000",103.067,"24,200,000",224.471,"22,200,000",,
"Amazon Web Services [c5d.large]",13.339,"1,870,000",30.374,"1,640,000",69.288,"1,440,000",203.931,"1,220,000",458.965,"1,080,000",,,,,,,,
"Amazon Web Services [m6a.48xlarge]",1.293,"19,300,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m6a.large]",12.533,"1,990,000",28.591,"1,740,000",64.886,"1,540,000",188.021,"1,320,000",423.391,"1,180,000",946.327,"1,050,000",,,,,,
"Amazon Web Services [m6i.32xlarge]",0.949,"26,300,000",1.507,"33,100,000",2.893,"34,500,000",7.325,"34,100,000",14.477,"34,500,000",29.465,"33,900,000",79.349,"31,500,000",170.578,"29,300,000",369.626,"27,000,000"
"Amazon Web Services [m6i.large]",10.573,"2,360,000",23.936,"2,080,000",54.088,"1,840,000",156.508,"1,590,000",347.822,"1,430,000",775.492,"1,280,000",,,,,,
"Amazon Web Services [m7i.48xlarge]",0.530,"47,100,000",,,,,,,,,,,,,,,,
"Amazon Web Services [m7i.large]",8.432,"2,960,000",19.030,"2,620,000",43.049,"2,320,000",124.544,"2,000,000",280.506,"1,780,000",630.372,"1,580,000",,,,,,
"Amazon Web Services [t3.small]",15.744,"1,580,000",35.693,"1,400,000",81.259,"1,230,000",237.562,"1,050,000",,,,,,,,,,
"Google Cloud Platform [n2d-standard-2]",16.622,"1,500,000",37.621,"1,320,000",85.132,"1,170,000",246.698,"1,010,000",552.617,"904,000",1240.388,"806,000",,,,,,
"Google Cloud Platform [n2d-standard-224]",1.246,"20,000,000",2.428,"20,500,000",5.224,"19,100,000",13.689,"18,200,000",24.680,"20,200,000",42.228,"23,600,000",89.100,"28,000,000",,,,
