,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Euler-Mascheroni Constant [brent-refined]",3,7.436,"3,360,000",15.579,"3,200,000",32.391,"3,080,000",101.968,"2,450,000",217.569,"2,290,000",473.812,"2,110,000",1214.332,"2,050,000",,,,,,
"Pi [chudnovsky]",1,0.326,"76,600,000",0.688,"72,600,000",1.393,"71,700,000",3.623,"69,000,000",7.603,"65,700,000",16.219,"61,600,000",45.867,"54,500,000",101.179,"49,400,000",223.724,"44,600,000",634.086,"39,400,000"
"e [exp(1)]",2,0.108,"231,000,000",0.199,"251,000,000",0.402,"248,000,000",1.081,"231,000,000",2.212,"226,000,000",4.682,"213,000,000",12.885,"194,000,000",27.615,"181,000,000",60.671,"164,000,000",162.708,"153,000,000"
