,,25m,,50m,,100m,,250m,,500m,,1b,
"Log(2) [machin-secondary]",6,13.085,"1,910,000",29.716,"1,680,000",67.846,"1,470,000",199.272,"1,250,000",447.698,"1,110,000",,
"Log(3) [machin-primary]",,13.319,"1,870,000",30.323,"1,640,000",69.164,"1,440,000",203.730,"1,220,000",458.472,"1,090,000",,
"Log(3) [machin-secondary]",,13.871,"1,800,000",31.479,"1,580,000",72.146,"1,380,000",213.244,"1,170,000",479.443,"1,040,000",,
"Log(5) [machin-primary]",,13.339,"1,870,000",30.374,"1,640,000",69.288,"1,440,000",203.931,"1,220,000",458.965,"1,080,000",,
"Log(5) [machin-secondary]",,13.868,"1,800,000",31.544,"1,580,000",72.123,"1,380,000",213.411,"1,170,000",479.815,"1,040,000",,
"Log(7) [machin-primary]",,13.324,"1,870,000",30.292,"1,650,000",69.232,"1,440,000",203.873,"1,220,000",458.761,"1,080,000",,
"Log(7) [machin-secondary]",,13.900,"1,790,000",31.553,"1,580,000",72.139,"1,380,000",213.468,"1,170,000",479.180,"1,040,000",,
"Log(Pi) [Definition]",,43.977,"568,000",99.979,"500,000",222.366,"449,000",660.534,"378,000",1462.235,"341,000",,
"Log10(2) [Machin (4 terms)]",,13.636,"1,830,000",30.936,"1,610,000",70.615,"1,410,000",207.659,"1,200,000",465.966,"1,070,000",,
"Pi [chudnovsky]",1,4.395,"5,680,000",10.032,"4,980,000",22.512,"4,440,000",66.458,"3,760,000",149.282,"3,340,000",,
"Pi^-1 [Native]",,4.434,"5,630,000",10.159,"4,920,000",23.135,"4,320,000",68.075,"3,670,000",152.775,"3,270,000",,
"Sin(1) [Series]",,1.549,"16,100,000",3.470,"14,400,000",7.514,"13,300,000",21.760,"11,400,000",46.898,"10,600,000",564.521,"1,770,000"
"Sin(1) [Triple Angle Formula]",,1.745,"14,300,000",3.893,"12,800,000",8.426,"11,800,000",24.482,"10,200,000",52.798,"9,470,000",936.431,"1,060,000"
"Sqrt(125) [newton]",5,0.484,"51,600,000",1.056,"47,300,000",2.333,"42,800,000",6.802,"36,700,000",14.693,"34,000,000",,
"Sqrt(2) [newton]",4,0.471,"53,000,000",1.023,"48,800,000",2.276,"43,900,000",6.583,"37,900,000",14.282,"35,000,000",197.174,"5,070,000"
"Sqrt(200) [newton]",4,0.484,"51,600,000",1.059,"47,200,000",2.334,"42,800,000",6.794,"36,700,000",14.733,"33,900,000",,
"Sqrt(325) [newton]",,0.482,"51,800,000",1.053,"47,400,000",2.350,"42,500,000",6.777,"36,800,000",14.709,"33,900,000",,
"Sqrt(Pi) [Simple]",,4.761,"5,250,000",10.841,"4,610,000",24.590,"4,060,000",72.581,"3,440,000",162.312,"3,080,000",,
"Universal Parabolic Constant [Definition]",,44.211,"565,000",100.245,"498,000",222.261,"449,000",662.927,"377,000",1467.072,"340,000",,
"Unnormalized Fresnel C(1) [Series]",,2.962,"8,440,000",6.479,"7,710,000",14.204,"7,040,000",39.358,"6,350,000",85.343,"5,850,000",,
"Unnormalized Fresnel S(1) [Series]",,2.951,"8,470,000",6.472,"7,720,000",14.195,"7,040,000",39.252,"6,360,000",85.286,"5,860,000",,
"Zeta(2) [Chudnovsky]",,4.599,"5,430,000",10.414,"4,800,000",23.472,"4,260,000",68.903,"3,620,000",154.041,"3,240,000",,
"Zeta(2) [Direct]",,6.526,"3,830,000",14.988,"3,330,000",34.424,"2,900,000",102.364,"2,440,000",231.640,"2,150,000",,
"Zeta(3) - Apery's Constant [az]",7,20.471,"1,220,000",47.396,"1,050,000",108.770,"919,000",324.103,"771,000",748.539,"667,000",,
"Zeta(3) - Apery's Constant [wedeniwski]",7,19.325,"1,290,000",44.683,"1,110,000",103.071,"970,000",309.674,"807,000",715.652,"698,000",,
"Zeta(4) [Chudnovsky]",,4.621,"5,410,000",10.536,"4,740,000",23.800,"4,200,000",69.823,"3,580,000",156.595,"3,190,000",,
"Zeta(4) [Direct]",,6.588,"3,790,000",15.161,"3,290,000",34.716,"2,880,000",103.569,"2,410,000",234.079,"2,130,000",,
"Zeta(5) [BBP-Kruse]",13,190.283,"131,000",434.131,"115,000",985.684,"101,000",2908.426,"85,900",,,,
"Zeta(5) [Broadhurst (optimized)]",13,356.169,"70,100",814.283,"61,400",1854.166,"53,900",5498.155,"45,400",12443.864,"40,100",,
"e [exp(-1)]",2,1.374,"18,100,000",3.052,"16,300,000",6.823,"14,600,000",20.323,"12,300,000",44.271,"11,200,000",543.665,"1,830,000"
"e [exp(1)]",2,1.370,"18,200,000",3.047,"16,400,000",6.803,"14,600,000",20.341,"12,200,000",44.236,"11,300,000",541.885,"1,840,000"
