,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,,50b,,100b,,250b,
"Cos(1) [Half Angle Formula]",,0.109,"229,000,000",0.192,"260,000,000",0.363,"275,000,000",0.892,"280,000,000",1.777,"281,000,000",3.699,"270,000,000",9.623,"259,000,000",20.643,"242,000,000",43.777,"228,000,000",120.367,"207,000,000",265.883,"188,000,000",575.865,"173,000,000",2768.316,"90,300,000"
"Cos(1) [Series]",,0.101,"247,000,000",0.187,"267,000,000",0.346,"289,000,000",0.884,"282,000,000",1.761,"283,000,000",3.612,"276,000,000",9.476,"263,000,000",20.626,"242,000,000",43.434,"230,000,000",119.935,"208,000,000",262.364,"190,000,000",563.366,"177,000,000",2595.964,"96,300,000"
