,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Euler-Mascheroni Constant [brent-refined]",3,7.327,"3,410,000",15.358,"3,250,000",32.012,"3,120,000",100.683,"2,480,000",215.706,"2,310,000",469.629,"2,120,000",1206.873,"2,070,000",,,,,,
"Pi [chudnovsky]",1,0.321,"77,800,000",0.679,"73,600,000",1.380,"72,400,000",3.589,"69,600,000",7.547,"66,200,000",16.254,"61,500,000",45.311,"55,100,000",100.459,"49,700,000",222.825,"44,800,000",625.790,"39,900,000"
"e [exp(1)]",2,0.105,"238,000,000",0.199,"251,000,000",0.388,"257,000,000",1.054,"237,000,000",2.163,"231,000,000",4.621,"216,000,000",12.599,"198,000,000",27.667,"180,000,000",60.283,"165,000,000",164.265,"152,000,000"
