,,25m,,50m,,100m,,250m,,500m,,1b,,2.5b,,5b,,10b,,25b,
"Euler-Mascheroni Constant [brent-refined]",3,6.857,"3,640,000",14.395,"3,470,000",30.016,"3,330,000",95.020,"2,630,000",204.306,"2,440,000",446.382,"2,240,000",1138.823,"2,190,000",,,,,,
"Pi [chudnovsky]",1,0.299,"83,600,000",0.630,"79,300,000",1.294,"77,200,000",3.396,"73,600,000",7.142,"70,000,000",15.318,"65,200,000",42.946,"58,200,000",95.352,"52,400,000",207.677,"48,100,000",595.381,"41,900,000"
"Sqrt(2) [newton]",4,0.044,"568,000,000",0.078,"641,000,000",0.149,"671,000,000",0.374,"668,000,000",0.747,"669,000,000",1.539,"649,000,000",4.187,"597,000,000",8.932,"559,000,000",18.869,"529,000,000",52.468,"476,000,000"
"e [exp(1)]",2,0.098,"255,000,000",0.186,"268,000,000",0.380,"263,000,000",1.009,"247,000,000",2.068,"241,000,000",4.354,"229,000,000",11.805,"211,000,000",25.049,"199,000,000",55.760,"179,000,000",152.143,"164,000,000"
